driverId,driverRef,nationality,total_races,total_wins,total_podiums,avg_grid,avg_finish,best_finish,avg_team_position,avg_championship_position_pct,total_titles,career_seasons,win_rate,podium_rate,grid_vs_finish,performance_vs_team,title_rate,win_rate_scaled,podium_rate_scaled,avg_grid_scaled,avg_finish_scaled,best_finish_scaled,grid_vs_finish_scaled,avg_championship_position_pct_scaled,title_rate_scaled,performance_vs_team_scaled,avg_team_position_scaled
1,hamilton,British,356,105,202,4.300561797752809,5.019662921348314,1,2.283707865168539,92.10605059638877,7,18,29.49438202247191,56.74157303370787,0.7191011235955056,-2.735955056179775,38.88888888888889,4.665911770743576,4.005531636372587,-1.8804176529851544,-2.089862079762684,-0.8548589233425298,-0.18875278679962024,1.8826031228995965,5.588679710538069,1.5407558991148735,-1.635036970405957
2,heidfeld,German,184,0,13,11.33695652173913,10.722826086956522,2,5.608695652173913,54.44129468223671,0,12,0.0,7.065217391304348,-0.6141304347826093,-5.114130434782608,0.0,-0.37500427735506453,-0.03501548046318358,-0.30325510309538417,-0.8277338238877986,-0.6225062799340224,-0.427490950533267,0.31751798064617154,-0.26046236766500785,0.6587057163517452,-0.6072040090229582
3,rosberg,German,206,23,57,6.902912621359223,8.25242718446602,1,4.0,73.86507870697595,1,11,11.165048543689322,27.669902912621357,1.3495145631067968,-4.25242718446602,9.090909090909092,1.5332259862525024,1.6409166928985786,-1.2971174798616072,-1.3744410050741633,-0.8548589233425298,-0.07586635983487984,1.1246352722794473,1.106869546720127,0.9783059932143638,-1.1044901712759192
4,alonso,Spanish,404,32,106,8.57920792079208,8.492574257425742,1,5.0272277227722775,72.05660394839866,2,21,7.920792079207921,26.237623762376238,-0.08663366336633693,-3.465346534653465,9.523809523809524,0.9787466802106995,1.5244187872815456,-0.9213866869586225,-1.3212956894752907,-0.8548589233425298,-0.3330335325461417,1.0494876467049996,1.1719805902622762,1.2702292202660002,-0.7869496027246405
5,kovalainen,Finnish,112,1,4,13.741071428571429,13.285714285714286,1,6.482142857142857,38.11228454085597,0,7,0.8928571428571428,3.571428571428571,-0.45535714285714235,-6.80357142857143,0.0,-0.222405118075888,-0.3191912852384449,0.23561176629188893,-0.2605584655170891,-0.8548589233425298,-0.3990598472293937,-0.361002045296119,-0.26046236766500785,0.03210275395188233,-0.33720066320511044
6,nakajima,Japanese,36,0,0,13.805555555555555,13.083333333333334,6,7.416666666666667,22.222222222222218,0,3,0.0,0.0,-0.7222222222222214,-5.666666666666667,0.0,-0.37500427735506453,-0.6096821078976009,0.2500654679574606,-0.3053460177988113,0.3069042937000072,-0.44684665411368135,-1.0212824544154135,-0.26046236766500785,0.45377352812813804,-0.048317083427851286
7,bourdais,French,27,0,0,14.814814814814815,14.148148148148149,7,7.333333333333333,24.404761904761905,0,2,0.0,0.0,-0.6666666666666661,-6.814814814814816,0.0,-0.37500427735506453,-0.6096821078976009,0.4762844294104095,-0.06969909239497898,0.5392569371085146,-0.4368984712678817,-0.9305912937636089,-0.26046236766500785,0.027932653218318497,-0.074077402643658
8,raikkonen,Finnish,352,21,103,7.528409090909091,8.491477272727273,1,3.815340909090909,75.09398863210738,1,19,5.965909090909091,29.261363636363637,0.9630681818181825,-4.676136363636364,5.263157894736842,0.6446355596467059,1.770362018662075,-1.1569164755746517,-1.3215384556988752,-0.8548589233425298,-0.14506626653570143,1.1757002166368407,0.531150845926386,0.8211549427543329,-1.161572696810945
9,kubica,Polish,99,1,12,9.595959595959595,10.646464646464647,1,5.4646464646464645,48.05172271337684,0,7,1.0101010101010102,12.121212121212121,1.050505050505052,-5.1818181818181825,0.0,-0.20236684463518803,0.37622613870317106,-0.6934883487449558,-0.8446328549878189,-0.8548589233425298,-0.12940918330680065,0.05201183541547628,-0.26046236766500785,0.63360075976161,-0.6517330456647741
10,glock,German,95,0,3,17.0,15.23157894736842,2,9.23157894736842,30.71326821326821,0,6,0.0,3.1578947368421053,-1.7684210526315791,-6.0,0.0,-0.37500427735506453,-0.3528270647042419,0.9660796120057848,0.17006760991980346,-0.6225062799340224,-0.6341866447572144,-0.668453673231587,-0.26046236766500785,0.3301423063801261,0.5127155529669245
11,sato,Japanese,91,0,1,14.54945054945055,13.461538461538462,3,6.967032967032967,28.445441721839238,0,7,0.0,1.098901098901099,-1.0879120879120876,-6.4945054945054945,0.0,-0.37500427735506453,-0.5203003163101684,0.41680473876928725,-0.22164801285604557,-0.390153636525515,-0.5123297477909782,-0.7626887601397323,-0.26046236766500785,0.14673335103966864,-0.18730957502082943
12,piquet_jr,Brazilian,28,0,1,13.678571428571429,13.392857142857142,2,5.428571428571429,32.14285714285714,0,2,0.0,3.571428571428571,-0.2857142857142865,-7.9642857142857135,0.0,-0.37500427735506453,-0.3191912852384449,0.22160279390833476,-0.23684740842676588,-0.6225062799340224,-0.3686823603252556,-0.6090499059981208,-0.26046236766500785,-0.39839882177780184,-0.66288469900495
13,massa,Brazilian,271,11,41,8.376383763837639,8.99630996309963,1,3.6014760147601477,70.30934712094133,0,15,4.059040590405904,15.129151291512915,0.6199261992619913,-5.394833948339483,0.0,0.318730646010048,0.6208841814481966,-0.966848415174501,-1.2098173661023899,-0.8548589233425298,-0.20651177185740688,0.9768838123249967,-0.26046236766500785,0.5545945613617571,-1.2276834321751267
